,Filename,Language,Entropy,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,English_Stopwords_and,English_Stopwords_are,English_Stopwords_be,English_Stopwords_but,English_Stopwords_for,English_Stopwords_from,English_Stopwords_have,English_Stopwords_in,English_Stopwords_is,English_Stopwords_it,English_Stopwords_no,English_Stopwords_not,English_Stopwords_of,English_Stopwords_that,English_Stopwords_the,English_Stopwords_this,English_Stopwords_to,English_Stopwords_with,French_Stopwords_au,French_Stopwords_avec,French_Stopwords_ce,French_Stopwords_de,French_Stopwords_des,French_Stopwords_elle,French_Stopwords_et,French_Stopwords_est,French_Stopwords_il,French_Stopwords_je,French_Stopwords_la,French_Stopwords_le,French_Stopwords_les,French_Stopwords_mais,French_Stopwords_ou,French_Stopwords_par,French_Stopwords_pas,French_Stopwords_plus,French_Stopwords_pour,French_Stopwords_que,French_Stopwords_qui,French_Stopwords_si,French_Stopwords_sur,French_Stopwords_un,French_Stopwords_une,italian_Stopwords_e,italian_Stopwords_di,italian_Stopwords_il,italian_Stopwords_la,italian_Stopwords_lo,italian_Stopwords_i,italian_Stopwords_gli,italian_Stopwords_le,italian_Stopwords_che,italian_Stopwords_in,italian_Stopwords_vi,italian_Stopwords_si,italian_Stopwords_per,italian_Stopwords_ma,italian_Stopwords_con,italian_Stopwords_un,italian_Stopwords_una,italian_Stopwords_su,italian_Stopwords_non,italian_Stopwords_questo,italian_Stopwords_quello,spanish_Stopwords_y,spanish_Stopwords_de,spanish_Stopwords_la,spanish_Stopwords_las,spanish_Stopwords_el,spanish_Stopwords_los,spanish_Stopwords_que,spanish_Stopwords_a,spanish_Stopwords_en,spanish_Stopwords_no,spanish_Stopwords_un,spanish_Stopwords_unos,spanish_Stopwords_es,spanish_Stopwords_con,spanish_Stopwords_por,spanish_Stopwords_para,spanish_Stopwords_del,spanish_Stopwords_se,spanish_Stopwords_lo,spanish_Stopwords_pero,spanish_Stopwords_como,spanish_Stopwords_su,spanish_Stopwords_al,spanish_Stopwords_me,spanish_Stopwords_le,spanish_Stopwords_tener,spanish_Stopwords_sin
0,001.docx,english,4.206202752204699,0.08152937868990723,0.016305875737981444,0.027551307281416925,0.03092493674444757,0.12229406803486084,0.020241776778183864,0.026426764127073378,0.046949676693843125,0.06634804610626933,0.001967950520101209,0.009277481023334271,0.049761034579702,0.024458813606972166,0.06972167556929997,0.07871802080404836,0.020241776778183864,0.0014056789429294349,0.05960078718020804,0.06606691031768344,0.09699184706213101,0.02333427045262862,0.010402024177677818,0.02417767781838628,0.002530222097272983,0.019117233623840314,0.0008434073657576609,14,5,4,4,6,3,10,10,4,2,1,4,17,6,35,4,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,002.docx,english,4.1530322376979525,0.08516483516483517,0.018772893772893772,0.03663003663003663,0.03663003663003663,0.13186813186813187,0.01282051282051282,0.0173992673992674,0.046703296703296704,0.07509157509157509,0.0009157509157509158,0.012362637362637362,0.038003663003663,0.030677655677655676,0.06364468864468864,0.07097069597069597,0.0347985347985348,0.0009157509157509158,0.04716117216117216,0.08928571428571429,0.08653846153846154,0.02197802197802198,0.008241758241758242,0.015567765567765568,0.0027472527472527475,0.014194139194139194,0.0,12,0,2,1,2,2,2,4,7,10,0,1,9,3,18,1,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,003.docx,english,4.1831856795020546,0.07810253953042645,0.016770483948251078,0.0340201245807379,0.03689506468615237,0.12074748442740776,0.020124580737901295,0.020603737422137038,0.04312410158121706,0.0828941063727839,0.0004791566842357451,0.008145663632007666,0.04264494489698131,0.01629132726401533,0.06420699568758984,0.07666506947771921,0.033540967896502155,0.0009583133684714902,0.05270723526593196,0.07474844274077623,0.09678965021562051,0.028749401054144707,0.005270723526593196,0.01964542405366555,0.006229036895064686,0.015333013895543843,0.0,3,4,4,2,3,2,1,6,5,16,0,4,12,4,23,3,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,004.docx,english,4.146091450602058,0.09323583180987204,0.014625228519195612,0.025594149908592323,0.04716636197440585,0.14552102376599635,0.02522851919561243,0.017550274223034734,0.06764168190127971,0.05850091407678245,0.0010968921389396709,0.006581352833638025,0.054844606946983544,0.015722120658135285,0.06288848263254114,0.06837294332723949,0.017184643510054845,0.0007312614259597807,0.048994515539305304,0.04826325411334552,0.09798903107861061,0.019744058500914076,0.014259597806215722,0.02120658135283364,0.008043875685557587,0.017184643510054845,0.0010968921389396709,22,1,1,7,3,4,5,7,2,5,0,10,9,5,72,3,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,005.docx,english,4.125935981789063,0.09856564913571166,0.011769032732622288,0.03273262228760574,0.049650606840750275,0.14269952188304524,0.020595807282089002,0.01875689591761677,0.057006252298639204,0.06767193821257815,0.000735564545788893,0.006987863184994484,0.05590290547995587,0.031997057741816846,0.06620080912100036,0.059580728208900334,0.019124678190511217,0.0,0.06289076866495034,0.050753953659433616,0.08054431776388378,0.01802133137182788,0.009930121368150056,0.02280250091945568,0.000735564545788893,0.01250459727841118,0.000735564545788893,32,0,1,2,6,2,1,10,0,9,0,3,18,6,33,2,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,006.docx,english,4.169907877047033,0.10478654592496765,0.015955153083225527,0.03794739111686071,0.047865459249676584,0.129366106080207,0.017248814144027597,0.016817593790426907,0.04915912031047866,0.07373868046571798,0.0008624407072013799,0.00603708495040966,0.055627425614489,0.02199223803363519,0.07373868046571798,0.060370849504096595,0.01207416990081932,0.0017248814144027599,0.056921086675291076,0.05217766278568348,0.07805088400172489,0.027598102630444158,0.014230271668822769,0.02199223803363519,0.00301854247520483,0.018111254851228976,0.0017248814144027599,24,0,1,4,0,1,0,15,0,5,0,4,6,1,27,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,007.docx,english,4.20787014723597,0.07243650047036689,0.013875823142050799,0.021401693320790217,0.053621825023518345,0.12229539040451552,0.022107243650047036,0.022107243650047036,0.06326434619002823,0.06773283160865474,0.00047036688617121356,0.012699905926622766,0.04844778927563499,0.020460959548447788,0.0625587958607714,0.07173095014111007,0.013875823142050799,0.00023518344308560678,0.05503292568203198,0.06444026340545625,0.09430856067732832,0.024459078080903106,0.005644402634054563,0.023753527751646283,0.00047036688617121356,0.022342427093132642,0.00023518344308560678,18,0,2,1,4,2,0,12,3,25,1,4,28,15,56,10,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
7,008.docx,english,4.210291738188387,0.07908927501497903,0.01408028759736369,0.020970641102456562,0.04733373277411624,0.12552426602756142,0.02037147992810066,0.020071899340922707,0.05901737567405632,0.05512282804074296,0.0014979029358897543,0.009586578789694428,0.046734571599760334,0.02156980227681246,0.06620730976632715,0.07549430796884361,0.015877771120431396,0.0,0.06231276213301378,0.06261234272019173,0.08927501497902936,0.02726183343319353,0.008088675853804673,0.028460155781905333,0.0,0.025164769322947873,0.0,23,0,1,4,11,2,0,12,0,18,3,2,19,9,31,4,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,010.docx,english,4.188381140012656,0.06765899864682003,0.013531799729364006,0.02097428958051421,0.048376184032476316,0.12144790257104195,0.02706359945872801,0.02097428958051421,0.07645466847090664,0.06867388362652233,0.0010148849797023004,0.011502029769959404,0.038903924221921515,0.023004059539918808,0.06529093369418133,0.07341001353179973,0.015223274695534507,0.00033829499323410016,0.05649526387009472,0.06258457374830853,0.09945872801082543,0.023004059539918808,0.0033829499323410014,0.02198917456021651,0.0010148849797023004,0.013870094722598106,0.0,15,0,1,5,7,3,0,13,0,12,5,2,24,4,48,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,011.docx,english,4.225171034616838,0.06986621363346783,0.012953918029305586,0.02229772775536207,0.04565725207050329,0.12019537056699936,0.02081121257167127,0.02527075812274368,0.07878530473561265,0.06031004459545551,0.0016988744956466342,0.015289870460819708,0.03716287959227012,0.022085368443406243,0.06179655977914632,0.08090889785517096,0.015926948396687193,0.00042471862391165854,0.05330218730091314,0.05245275005308983,0.09832236143554896,0.028031429178169462,0.005308982798895732,0.026120195370567,0.00042471862391165854,0.015714589084731365,0.0008494372478233171,22,0,6,2,3,2,1,12,0,26,8,3,19,13,59,3,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
